elapsed time,timestamp,topic,value
38.751032326,1772638181.963006643,/qpos.qpos[11],0.08041684309230128
38.772934937,1772638181.984909254,/qpos.qpos[11],0.08053469824887897
38.794923529,1772638182.006897846,/qpos.qpos[11],0.08062344362649902
38.816816448,1772638182.028790765,/qpos.qpos[11],0.08068692040186119
38.840392973,1772638182.052367290,/qpos.qpos[11],0.08073940260392291
38.861538236,1772638182.073512553,/qpos.qpos[11],0.08079458658496463
38.883414615,1772638182.095388932,/qpos.qpos[11],0.08084167628131358
38.905258477,1772638182.117232794,/qpos.qpos[11],0.08088962543057535
38.927007033,1772638182.138981350,/qpos.qpos[11],0.08093631194194982
38.948311752,1772638182.160286069,/qpos.qpos[11],0.08097988279291116
38.970751356,1772638182.182725673,/qpos.qpos[11],0.08102449525765267
38.99164091,1772638182.203615227,/qpos.qpos[11],0.08106762591136761
39.013735812,1772638182.225710129,/qpos.qpos[11],0.08110698522354093
39.03583132,1772638182.247805637,/qpos.qpos[11],0.08114651238440328
39.057568089,1772638182.269542406,/qpos.qpos[11],0.08118421969817334
39.079175291,1772638182.291149608,/qpos.qpos[11],0.08121940361164467
39.101747263,1772638182.313721580,/qpos.qpos[11],0.08125079998728069
39.123699806,1772638182.335674123,/qpos.qpos[11],0.08128296067109451
39.145888725,1772638182.357863042,/qpos.qpos[11],0.08131205332610983
39.167827306,1772638182.379801623,/qpos.qpos[11],0.08133960832085789
39.190350279,1772638182.402324596,/qpos.qpos[11],0.08136492886605676
39.212081347,1772638182.424055664,/qpos.qpos[11],0.08138898987900337
39.233603686,1772638182.445578003,/qpos.qpos[11],0.08140888459429715
39.256425879,1772638182.468400196,/qpos.qpos[11],0.08142783604293988
39.278667258,1772638182.490641575,/qpos.qpos[11],0.08144559987679673
39.300185604,1772638182.512159921,/qpos.qpos[11],0.08146075253401405
39.322703716,1772638182.534678033,/qpos.qpos[11],0.08147420935542994
39.344582244,1772638182.556556561,/qpos.qpos[11],0.08148582718312296
39.366930051,1772638182.578904368,/qpos.qpos[11],0.08149578939426173
39.389360841,1772638182.601335158,/qpos.qpos[11],0.0815042402630925
39.411213256,1772638182.623187573,/qpos.qpos[11],0.08151181670037214
39.433497243,1772638182.645471560,/qpos.qpos[11],0.08151815036243809
39.456131093,1772638182.668105410,/qpos.qpos[11],0.08152370998633021
39.477702945,1772638182.689677262,/qpos.qpos[11],0.08152863965982077
39.504319234,1772638182.716293551,/qpos.qpos[11],0.08153241452150756
39.530206333,1772638182.742180650,/qpos.qpos[11],0.08153641255705281
39.557421294,1772638182.769395611,/qpos.qpos[11],0.08153968218366259
39.579876739,1772638182.791851056,/qpos.qpos[11],0.081542528270602
39.60240568,1772638182.814379997,/qpos.qpos[11],0.08154425683319706
39.623929337,1772638182.835903654,/qpos.qpos[11],0.08154540043932622
39.645625436,1772638182.857599753,/qpos.qpos[11],0.08154603016991627
39.667451791,1772638182.879426108,/qpos.qpos[11],0.08154609509627482
39.689772238,1772638182.901746555,/qpos.qpos[11],0.08154518663285473
39.711811665,1772638182.923785982,/qpos.qpos[11],0.08154352295360535
39.734116749,1772638182.946091066,/qpos.qpos[11],0.08154137984902604
39.756545575,1772638182.968519892,/qpos.qpos[11],0.08153896674140584
39.777615734,1772638182.989590051,/qpos.qpos[11],0.08153581375387887
39.800072962,1772638183.012047279,/qpos.qpos[11],0.08153218343655812
39.822803447,1772638183.034777764,/qpos.qpos[11],0.08152769431443155
39.844434677,1772638183.056408994,/qpos.qpos[11],0.08152214889969599
39.866461904,1772638183.078436221,/qpos.qpos[11],0.08151561852410057
39.888923707000004,1772638183.100898024,/qpos.qpos[11],0.0815075543734514
39.910319574,1772638183.122293891,/qpos.qpos[11],0.08149827842784797
39.932584252,1772638183.144558569,/qpos.qpos[11],0.08148822967607895
39.955122251,1772638183.167096568,/qpos.qpos[11],0.08147749796567659
39.976502506,1772638183.188476823,/qpos.qpos[11],0.08146559660568552
39.998718767,1772638183.210693084,/qpos.qpos[11],0.08145204242388585
40.02061547,1772638183.232589787,/qpos.qpos[11],0.08143709977921523
40.042130708,1772638183.254105025,/qpos.qpos[11],0.08142118578504329
40.064181418,1772638183.276155735,/qpos.qpos[11],0.08140528609234496
40.088093226,1772638183.300067543,/qpos.qpos[11],0.08136252730343921
40.111052107,1772638183.323026424,/qpos.qpos[11],0.08132228077772105
40.133730089,1772638183.345704406,/qpos.qpos[11],0.08128699899714195
40.156199958,1772638183.368174275,/qpos.qpos[11],0.08125409403104207
40.177517654,1772638183.389491971,/qpos.qpos[11],0.08122008860385714
40.199154973,1772638183.411129290,/qpos.qpos[11],0.08118354243017782
40.221582599,1772638183.433556916,/qpos.qpos[11],0.08114623630139739
40.242945357,1772638183.454919674,/qpos.qpos[11],0.08110722590446023
40.26521191,1772638183.477186227,/qpos.qpos[11],0.08106732297281774
40.286958981,1772638183.498933298,/qpos.qpos[11],0.08102011098511197
40.30874578,1772638183.520720097,/qpos.qpos[11],0.08096799138290207
40.330671517,1772638183.542645834,/qpos.qpos[11],0.08061990164083337
40.352933499,1772638183.564907816,/qpos.qpos[11],0.07971500245663753
40.374479406,1772638183.586453723,/qpos.qpos[11],0.07861609497856716
40.397491167,1772638183.609465484,/qpos.qpos[11],0.07761531087434377
40.425687744,1772638183.637662061,/qpos.qpos[11],0.076807878958296
40.464017248,1772638183.675991565,/qpos.qpos[11],0.07598532017178208
40.505164137,1772638183.717138454,/qpos.qpos[11],0.0747885873973644
40.549160354,1772638183.761134671,/qpos.qpos[11],0.07402003660365977
40.578745199,1772638183.790719516,/qpos.qpos[11],0.07291695929238008
40.603849704,1772638183.815824021,/qpos.qpos[11],0.07157337385134485
40.62957494,1772638183.841549257,/qpos.qpos[11],0.06990862567540544
40.652958617,1772638183.864932934,/qpos.qpos[11],0.06772406271934493
40.674043584,1772638183.886017901,/qpos.qpos[11],0.06543235514407982
40.696067678,1772638183.908041995,/qpos.qpos[11],0.06298430122466306
40.717837232,1772638183.929811549,/qpos.qpos[11],0.06035190329280369
40.740060076,1772638183.952034393,/qpos.qpos[11],0.05776170535193016
40.76155493,1772638183.973529247,/qpos.qpos[11],0.05495613576932077
40.783689111,1772638183.995663428,/qpos.qpos[11],0.05239474574577428
40.806056432,1772638184.018030749,/qpos.qpos[11],0.04966511215170924
40.828980315,1772638184.040954632,/qpos.qpos[11],0.046961225025032756
40.851009892,1772638184.062984209,/qpos.qpos[11],0.044166125564082226
40.873922797,1772638184.085897114,/qpos.qpos[11],0.04118356148158974
40.896096551,1772638184.108070868,/qpos.qpos[11],0.037629542355021965
40.922412625,1772638184.134386942,/qpos.qpos[11],0.0323641847937239
40.961061963,1772638184.173036280,/qpos.qpos[11],0.023811339442017153
41.003048497,1772638184.215022814,/qpos.qpos[11],0.012739843488365375
41.048022067,1772638184.259996384,/qpos.qpos[11],0.004211048115722684
41.089164903,1772638184.301139220,/qpos.qpos[11],-0.0021289924131856633
41.133747531,1772638184.345721848,/qpos.qpos[11],-0.008876245802580344
41.175368246,1772638184.387342563,/qpos.qpos[11],-0.016585778676897388
41.21919879,1772638184.431173107,/qpos.qpos[11],-0.019807304175625227
41.2598772,1772638184.471851517,/qpos.qpos[11],-0.02350064850376767
41.302956063,1772638184.514930380,/qpos.qpos[11],-0.026818681823262983
41.346637996,1772638184.558612313,/qpos.qpos[11],-0.031107442499382538
41.38556061,1772638184.597534927,/qpos.qpos[11],-0.035645769980479663
41.430730819,1772638184.642705136,/qpos.qpos[11],-0.03944170648700876
41.469547152,1772638184.681521469,/qpos.qpos[11],-0.04363777239918361
41.514875125,1772638184.726849442,/qpos.qpos[11],-0.047009581967227626
41.556302224,1772638184.768276541,/qpos.qpos[11],-0.0504603062820808
41.599397563,1772638184.811371880,/qpos.qpos[11],-0.05335196902212553
41.639804666,1772638184.851778983,/qpos.qpos[11],-0.056235222843270434
41.683820907,1772638184.895795224,/qpos.qpos[11],-0.05895541870473998
41.725531876,1772638184.937506193,/qpos.qpos[11],-0.061993982753435026
41.760974296,1772638184.972948613,/qpos.qpos[11],-0.06496107547211544
41.787285388,1772638184.999259705,/qpos.qpos[11],-0.06763327870157144
41.81302479,1772638185.024999107,/qpos.qpos[11],-0.06965994138648528
41.835899209,1772638185.047873526,/qpos.qpos[11],-0.07143890810418808
41.857474013,1772638185.069448330,/qpos.qpos[11],-0.07298701234262904
41.87912776,1772638185.091102077,/qpos.qpos[11],-0.07440032794017618
41.901205181,1772638185.113179498,/qpos.qpos[11],-0.07574253113997365
41.923429652,1772638185.135403969,/qpos.qpos[11],-0.07698894372344366
41.944927473,1772638185.156901790,/qpos.qpos[11],-0.0783305305058205
41.967493287,1772638185.179467604,/qpos.qpos[11],-0.0795418668234666
41.989910258,1772638185.201884575,/qpos.qpos[11],-0.08089567369045608
42.011622213,1772638185.223596530,/qpos.qpos[11],-0.08218186123284786
42.033648433,1772638185.245622750,/qpos.qpos[11],-0.0834870573779739
42.058834055,1772638185.270808372,/qpos.qpos[11],-0.084810942679521
42.084904804,1772638185.296879121,/qpos.qpos[11],-0.0863269336856459
42.110869698,1772638185.322844015,/qpos.qpos[11],-0.08782717538593536
42.133171018,1772638185.345145335,/qpos.qpos[11],-0.08921113098103492
42.155393219,1772638185.367367536,/qpos.qpos[11],-0.09033441951064132
42.176786864,1772638185.388761181,/qpos.qpos[11],-0.09133606968874952
42.198283013,1772638185.410257330,/qpos.qpos[11],-0.0922373381535116
42.220087198,1772638185.432061515,/qpos.qpos[11],-0.0930974486383563
42.241146201,1772638185.453120518,/qpos.qpos[11],-0.09389365779082202
42.263028871,1772638185.475003188,/qpos.qpos[11],-0.09464044835998456
42.28461147,1772638185.496585787,/qpos.qpos[11],-0.09536193362867194
42.306756655,1772638185.518730972,/qpos.qpos[11],-0.0960996873713542
42.329205285,1772638185.541179602,/qpos.qpos[11],-0.09683900140177844
42.350815884,1772638185.562790201,/qpos.qpos[11],-0.09760313633014135
42.373094221,1772638185.585068538,/qpos.qpos[11],-0.09830102883131375
42.394001787,1772638185.605976104,/qpos.qpos[11],-0.09906721876271649
42.416472142,1772638185.628446459,/qpos.qpos[11],-0.09969818483112522
42.438491175,1772638185.650465492,/qpos.qpos[11],-0.10040328637689572
42.460094164,1772638185.672068481,/qpos.qpos[11],-0.10103817720504119
42.481482844,1772638185.693457161,/qpos.qpos[11],-0.10163091919900034
42.504031669,1772638185.716005986,/qpos.qpos[11],-0.1021714447495983
42.532013353,1772638185.743987670,/qpos.qpos[11],-0.10272750550823746
42.564982012,1772638185.776956329,/qpos.qpos[11],-0.10335877265746601
42.605640554,1772638185.817614871,/qpos.qpos[11],-0.10407304599555528
42.648983753,1772638185.860958070,/qpos.qpos[11],-0.10480512679663935
42.686650849,1772638185.898625166,/qpos.qpos[11],-0.10533969131088647
42.713225012,1772638185.925199329,/qpos.qpos[11],-0.10562538902252662
42.738122142,1772638185.950096459,/qpos.qpos[11],-0.10571718781351717
42.761010563,1772638185.972984880,/qpos.qpos[11],-0.10577498717686364
42.78313613,1772638185.995110447,/qpos.qpos[11],-0.10582227072893337
42.805529666,1772638186.017503983,/qpos.qpos[11],-0.10587018709725579
42.828195703,1772638186.040170020,/qpos.qpos[11],-0.10591361461821903
42.850524622,1772638186.062498939,/qpos.qpos[11],-0.10595563276743103
42.873058956,1772638186.085033273,/qpos.qpos[11],-0.10599358666069335
42.893820492,1772638186.105794809,/qpos.qpos[11],-0.10603059344823641
42.915539823,1772638186.127514140,/qpos.qpos[11],-0.10606004357967715
42.937109579,1772638186.149083896,/qpos.qpos[11],-0.10608875543189641
42.958647819,1772638186.170622136,/qpos.qpos[11],-0.10611366924987675
42.980050336,1772638186.192024653,/qpos.qpos[11],-0.10613667994174006
43.002647976,1772638186.214622293,/qpos.qpos[11],-0.10615968518308458
43.028929531,1772638186.240903848,/qpos.qpos[11],-0.10618168176767155
43.057862834,1772638186.269837151,/qpos.qpos[11],-0.10620123178420467
43.098265867,1772638186.310240184,/qpos.qpos[11],-0.10620972588762179
43.139360693,1772638186.351335010,/qpos.qpos[11],-0.10620986320534236
43.184138318,1772638186.396112635,/qpos.qpos[11],-0.10622555525304248
43.225074966,1772638186.437049283,/qpos.qpos[11],-0.10626263276012757
43.268454798,1772638186.480429115,/qpos.qpos[11],-0.10635128453548731
43.308679931,1772638186.520654248,/qpos.qpos[11],-0.10724956715637682
43.352768322,1772638186.564742639,/qpos.qpos[11],-0.10926659790527402
43.393208672,1772638186.605182989,/qpos.qpos[11],-0.11258139133327448
43.436738498,1772638186.648712815,/qpos.qpos[11],-0.11613059972632896
43.480837654,1772638186.692811971,/qpos.qpos[11],-0.11999536457638108
43.52020179,1772638186.732176107,/qpos.qpos[11],-0.12383569634738865
43.564359157,1772638186.776333474,/qpos.qpos[11],-0.12711281033287006
43.603905924,1772638186.815880241,/qpos.qpos[11],-0.13072276186347054
43.648102323,1772638186.860076640,/qpos.qpos[11],-0.13367601219507483
43.689071941,1772638186.901046258,/qpos.qpos[11],-0.1369381346883982
43.731522075,1772638186.943496392,/qpos.qpos[11],-0.13976412939327262
43.772061237,1772638186.984035554,/qpos.qpos[11],-0.14285715206381283
43.815148734,1772638187.027123051,/qpos.qpos[11],-0.14566457435807298
43.85672075,1772638187.068695067,/qpos.qpos[11],-0.14862161146639008
43.886594015,1772638187.098568332,/qpos.qpos[11],-0.15128691822601928
43.912580883,1772638187.124555200,/qpos.qpos[11],-0.15309733725470734
43.935043735,1772638187.147018052,/qpos.qpos[11],-0.1545922819528604
43.957954799,1772638187.169929116,/qpos.qpos[11],-0.1557610684636331
43.979221539,1772638187.191195856,/qpos.qpos[11],-0.15718394692487625
44.001345423,1772638187.213319740,/qpos.qpos[11],-0.15854402331498985
44.02340231,1772638187.235376627,/qpos.qpos[11],-0.15969154713575362
44.044989196,1772638187.256963513,/qpos.qpos[11],-0.1605407677108747
44.067310808,1772638187.279285125,/qpos.qpos[11],-0.16106529884159085
44.089922319,1772638187.301896636,/qpos.qpos[11],-0.16151118342947862
44.112066626,1772638187.324040943,/qpos.qpos[11],-0.16193652367129815
44.133513485,1772638187.345487802,/qpos.qpos[11],-0.16226333730249062
44.155685527,1772638187.367659844,/qpos.qpos[11],-0.16247472370839164
44.177078512,1772638187.389052829,/qpos.qpos[11],-0.16260834664917856
44.198632704,1772638187.410607021,/qpos.qpos[11],-0.16267127821212635
44.220921649,1772638187.432895966,/qpos.qpos[11],-0.16271520482434587
44.242634988,1772638187.454609305,/qpos.qpos[11],-0.16274545644235414
44.264726202,1772638187.476700519,/qpos.qpos[11],-0.16276022884092423
44.286367617,1772638187.498341934,/qpos.qpos[11],-0.16275845331895264
44.310208848,1772638187.522183165,/qpos.qpos[11],-0.16272779320962794
44.336126485,1772638187.548100802,/qpos.qpos[11],-0.16270064762335895
44.361928137,1772638187.573902454,/qpos.qpos[11],-0.16269833310915635
44.384483688,1772638187.596458005,/qpos.qpos[11],-0.16273500759469756
44.407627131,1772638187.619601448,/qpos.qpos[11],-0.1630535534664287
44.429826233,1772638187.641800550,/qpos.qpos[11],-0.1637968101494365
44.451247786,1772638187.663222103,/qpos.qpos[11],-0.16473767377295478
44.473395727,1772638187.685370044,/qpos.qpos[11],-0.16571955554557014
44.495026795,1772638187.707001112,/qpos.qpos[11],-0.16679252069798958
44.5168235,1772638187.728797817,/qpos.qpos[11],-0.16780108734267457
44.539109,1772638187.751083317,/qpos.qpos[11],-0.16866935146176235
44.560142988,1772638187.772117305,/qpos.qpos[11],-0.16936363278443892
44.582432453,1772638187.794406770,/qpos.qpos[11],-0.16980705000424168
44.604808952,1772638187.816783269,/qpos.qpos[11],-0.17032679433988346
44.626548553,1772638187.838522870,/qpos.qpos[11],-0.17094579136128263
44.648220986,1772638187.860195303,/qpos.qpos[11],-0.1716318278215959
44.670588197,1772638187.882562514,/qpos.qpos[11],-0.17241711412147717
44.691589122,1772638187.903563439,/qpos.qpos[11],-0.17333115825179618
44.713322271,1772638187.925296588,/qpos.qpos[11],-0.1742709823094071
44.736030704,1772638187.948005021,/qpos.qpos[11],-0.17483638334783003
44.757244719,1772638187.969219036,/qpos.qpos[11],-0.17484877815296274
44.779147113,1772638187.991121430,/qpos.qpos[11],-0.17478966421229594
44.800777559,1772638188.012751876,/qpos.qpos[11],-0.1747496590286228
